 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
3.9,-12.217304764,4.12091628943,-11.1776487589
3.91,-12.1823981789,3.68458397643,-20.3352405132
3.92,-12.1474915939,3.5391398721,-12.7936943626
3.93,-12.1125850088,3.49065850399,-9.29226222127
3.94,-12.0776784238,3.44217713588,-13.8710580984
3.95,-12.0427718388,3.29673303154,-26.1260705931
3.96,-12.0078652537,2.81191935044,-29.7621732014
3.97,-11.9904119612,2.61799387799,-25.5873887252
3.98,-11.9555053762,2.42406840555,-29.8968436684
3.99,-11.9380520836,1.93925472444,-26.934093395
4,-11.9205987911,1.79381062011,-17.5071607067
4.01,-11.9031454986,1.69684788388,-16.6991379049
4.02,-11.8856922061,1.55140377955,-22.3552975178
4.03,-11.8682389136,1.11507146655,-18.0458425746
4.04,-11.8682389136,1.06659009844,-5.25214821202
4.05,-11.850785621,1.308996939,-17.5071607067
4.06,-11.8333323285,0.824183257886,-38.2464126209
4.07,-11.8333323285,0.242406840555,-33.3982758098
4.08,-11.8333323285,0.048481368111,-17.5071607067
4.09,-11.8333323285,0,-10.2349554901
4.1,-11.8333323285,-0.048481368111,-14.0057285654
4.11,-11.8333323285,-0.193925472444,-25.9914001262
4.12,-11.8333323285,-0.678739153553,-28.8194799326
4.13,-11.850785621,-0.872664625997,-21.0085928481
4.14,-11.850785621,-1.01810873033,-18.0458425746
4.15,-11.8682389136,-1.35747830711,-6.59885288177
4.16,-11.8856922061,-1.06659009844,-5.25214821202
4.17,-11.8856922061,-1.16355283466,-28.9541503996
4.18,-11.9031454986,-1.74532925199,-42.690538031
4.19,-11.9205987911,-2.32710566933,-29.7621732014
4.2,-11.9555053762,-2.42406840555,-8.88825082034
4.21,-11.9729586687,-2.18166156499,-13.8710580984
4.22,-11.9904119612,-2.61799387799,-26.5300819941
4.23,-12.0253185462,-3.05432619099,-12.9283648296
4.24,-12.0602251313,-2.81191935044,-4.3094549432
4.25,-12.0776784238,-2.86040071855,-17.7765016407
4.26,-12.1125850088,-3.29673303154,-21.277933782
4.27,-12.1474915939,-3.44217713588,-10.773637358
4.28,-12.1823981789,-3.49065850399,2.02005700462
4.29,-12.217304764,-3.44217713588,21.277933782
4.3,-12.252211349,-3.19977029532,50.6360955826
4.31,-12.287117934,-2.42406840555,76.2234843078
4.32,-12.3045712266,-1.308996939,68.5472676902
4.33,-12.3045712266,-0.921145994108,47.8080157761
4.34,-12.3220245191,-0.630257785442,48.346697644
4.35,-12.3220245191,0,53.0601639881
4.36,-12.3220245191,0.630257785442,42.825208498
4.37,-12.3045712266,0.872664625997,30.3008550693
4.38,-12.3045712266,1.06659009844,30.7048664703
4.39,-12.287117934,1.55140377955,26.1260705931
4.4,-12.2696646415,1.69684788388,12.9283648296
4.41,-12.252211349,1.74532925199,4.71346634412
4.42,-12.2347580565,1.74532925199,0.942693268824
4.43,-12.217304764,1.74532925199,4.14483262527E-13
